time,x,rho,u,p,T,energy
0,0.005,0.081261,1,10000,340.416,307651
0,0.015,0.0831258,1,10000,332.779,300749
0,0.025,0.0846835,1,10000,326.658,295217
0,0.035,0.0859812,1,10000,321.728,290762
0,0.045,0.0870599,1,10000,317.741,287159
0,0.055,0.0879551,1,10000,314.507,284236
0,0.065,0.0886969,1,10000,311.877,281859
0,0.075,0.0893108,1,10000,309.733,279922
0,0.085,0.0898185,1,10000,307.983,278340
0,0.095,0.0902379,1,10000,306.551,277046
0,0.105,0.0905841,1,10000,305.379,275987
0,0.115,0.0908699,1,10000,304.419,275119
0,0.125,0.0911056,1,10000,303.631,274407
0,0.135,0.0912999,1,10000,302.985,273823
0,0.145,0.0914601,1,10000,302.454,273344
0,0.155,0.0915921,1,10000,302.018,272950
0,0.165,0.0917009,1,10000,301.66,272626
0,0.175,0.0917905,1,10000,301.366,272360
0,0.185,0.0918643,1,10000,301.124,272141
0,0.195,0.0919251,1,10000,300.925,271961
0,0.205,0.0919751,1,10000,300.761,271813
0,0.215,0.0920164,1,10000,300.626,271691
0,0.225,0.0920503,1,10000,300.515,271591
0,0.235,0.0920782,1,10000,300.424,271509
0,0.245,0.0921013,1,10000,300.349,271441
0,0.255,0.0921202,1,10000,300.287,271385
0,0.265,0.0921358,1,10000,300.236,271339
0,0.275,0.0921486,1,10000,300.195,271301
0,0.285,0.0921592,1,10000,300.16,271270
0,0.295,0.0921679,1,10000,300.132,271245
0,0.305,0.0921751,1,10000,300.109,271224
0,0.315,0.0921809,1,10000,300.089,271206
0,0.325,0.0921858,1,10000,300.074,271192
0,0.335,0.0921898,1,10000,300.061,271180
0,0.345,0.0921931,1,10000,300.05,271171
0,0.355,0.0921958,1,10000,300.041,271163
0,0.365,0.092198,1,10000,300.034,271156
0,0.375,0.0921999,1,10000,300.028,271151
0,0.385,0.0922014,1,10000,300.023,271146
0,0.395,0.0922026,1,10000,300.019,271143
0,0.405,0.0922036,1,10000,300.015,271140
0,0.415,0.0922045,1,10000,300.013,271137
0,0.425,0.0922052,1,10000,300.01,271135
0,0.435,0.0922057,1,10000,300.009,271133
0,0.445,0.0922062,1,10000,300.007,271132
0,0.455,0.0922066,1,10000,300.006,271131
0,0.465,0.0922069,1,10000,300.005,271130
0,0.475,0.0922072,1,10000,300.004,271129
0,0.485,0.0922074,1,10000,300.003,271128
