x,rho,u,p,energy
0.05,1,2.25917e-57,1,2.5
0.15,1,4.60285e-56,1,2.5
0.25,1,9.3634e-55,1,2.5
0.35,1,1.90032e-53,1,2.5
0.45,1,3.84737e-52,1,2.5
0.55,1,7.76976e-51,1,2.5
0.65,1,1.565e-49,1,2.5
0.75,1,3.1437e-48,1,2.5
0.85,1,6.29725e-47,1,2.5
0.95,1,1.2578e-45,1,2.5
1.05,1,2.50496e-44,1,2.5
1.15,1,4.97408e-43,1,2.5
1.25,1,9.84827e-42,1,2.5
1.35,1,1.94444e-40,1,2.5
1.45,1,3.82908e-39,1,2.5
1.55,1,7.52339e-38,1,2.5
1.65,1,1.47552e-36,1,2.5
1.75,1,2.89062e-35,1,2.5
1.85,1,5.66156e-34,1,2.5
1.95,1,1.10979e-32,1,2.5
2.05,1,2.18077e-31,1,2.5
2.15,1,4.30029e-30,1,2.5
2.25,1,8.5331e-29,1,2.5
2.35,1,1.7044e-27,1,2.5
2.45,1,3.43615e-26,1,2.5
2.55,1,7.01457e-25,1,2.5
2.65,1,1.43275e-23,1,2.5
2.75,1,3.04674e-22,1,2.5
2.85,1,6.08539e-21,1,2.5
2.95,1,1.43119e-19,1,2.5
3.05,1,2.45328e-18,1,2.5
3.15,1,7.62512e-17,1,2.5
3.25,1,1.03328e-15,1,2.5
3.35,1,1.17944e-14,1,2.5
3.45,1,1.29936e-13,1,2.5
3.55,1,1.38268e-12,1,2.5
3.65,1,1.42018e-11,1,2.5
3.75,1,1.40313e-10,1,2.5
3.85,1,1.32797e-09,1,2.5
3.95,1,1.19811e-08,1,2.5
4.05,1,1.02442e-07,1,2.5
4.15,0.999999,8.2433e-07,0.999999,2.5
4.25,0.999995,6.18685e-06,0.999993,2.49999
4.35,0.999964,4.28757e-05,0.999949,2.49996
4.45,0.999771,0.000269907,0.99968,2.49977
4.55,0.998709,0.00152693,0.998205,2.49874
4.65,0.993498,0.00743542,0.991075,2.49393
4.75,0.972925,0.032239,0.963975,2.47752
4.85,0.895154,0.104965,0.867612,2.42859
4.95,0.728351,0.355332,0.68874,2.42717
5.05,0.374129,0.773185,0.325788,2.47588
5.15,0.235884,0.638484,0.215384,2.48657
5.25,0.164359,0.315603,0.146814,2.28292
5.35,0.135036,0.0890752,0.112166,2.08056
5.45,0.12689,0.0165436,0.102201,2.01371
5.55,0.125291,0.00249547,0.10033,2.00195
5.65,0.12504,0.000336178,0.100044,2.00026
5.75,0.125005,4.16309e-05,0.100006,2.00003
5.85,0.125001,4.79946e-06,0.100001,2
5.95,0.125,5.19624e-07,0.1,2
6.05,0.125,5.32062e-08,0.1,2
6.15,0.125,5.18292e-09,0.1,2
6.25,0.125,4.82723e-10,0.1,2
6.35,0.125,4.31709e-11,0.1,2
6.45,0.125,3.72087e-12,0.1,2
6.55,0.125,3.10051e-13,0.1,2
6.65,0.125,2.50659e-14,0.1,2
6.75,0.125,1.96804e-15,0.1,2
6.85,0.125,1.31938e-16,0.1,2
6.95,0.125,3.93919e-18,0.1,2
7.05,0.125,2.02196e-19,0.1,2
7.15,0.125,7.85394e-21,0.1,2
7.25,0.125,3.49935e-22,0.1,2
7.35,0.125,1.48942e-23,0.1,2
7.45,0.125,6.53615e-25,0.1,2
7.55,0.125,2.8848e-26,0.1,2
7.65,0.125,1.28599e-27,0.1,2
7.75,0.125,5.79135e-29,0.1,2
7.85,0.125,2.62353e-30,0.1,2
7.95,0.125,1.19575e-31,0.1,2
8.05,0.125,5.46709e-33,0.1,2
8.15,0.125,2.505e-34,0.1,2
8.25,0.125,1.1484e-35,0.1,2
8.35,0.125,5.26234e-37,0.1,2
8.45,0.125,2.40819e-38,0.1,2
8.55,0.125,1.0999e-39,0.1,2
8.65,0.125,5.0117e-41,0.1,2
8.75,0.125,2.27746e-42,0.1,2
8.85,0.125,1.032e-43,0.1,2
8.95,0.125,4.6627e-45,0.1,2
9.05,0.125,2.10046e-46,0.1,2
9.15,0.125,9.43469e-48,0.1,2
9.25,0.125,4.22574e-49,0.1,2
9.35,0.125,1.88746e-50,0.1,2
9.45,0.125,8.40805e-52,0.1,2
9.55,0.125,3.73594e-53,0.1,2
9.65,0.125,1.65591e-54,0.1,2
9.75,0.125,7.32229e-56,0.1,2
9.85,0.125,3.23054e-57,0.1,2
9.95,0.125,1.42299e-58,0.1,2
